iter	Accuracy	Logloss
308	0.9651710072	0.1464489043
309	0.9648572325	0.1463458886
310	0.9651710072	0.1461542464
311	0.9648572325	0.1459341217
312	0.9648572325	0.1457469002
313	0.9654847819	0.1455845269
314	0.9651710072	0.145308337
315	0.9654847819	0.145136877
316	0.9654847819	0.1450369147
317	0.9657985566	0.1449038463
318	0.9657985566	0.144713863
319	0.9657985566	0.1445437481
320	0.9657985566	0.1443656122
321	0.9657985566	0.1442406532
322	0.9661123313	0.1440793908
323	0.9661123313	0.1438688124
324	0.9661123313	0.1437594625
325	0.9657985566	0.1436285858
326	0.9657985566	0.1435068971
327	0.9664261061	0.1432543356
328	0.9664261061	0.1430931403
329	0.9667398808	0.1428657029
330	0.9667398808	0.1427542537
331	0.9664261061	0.1426278808
332	0.9667398808	0.1423997759
333	0.9667398808	0.1421592308
334	0.9667398808	0.1420268295
335	0.9667398808	0.1419636796
336	0.9667398808	0.1418143056
337	0.9667398808	0.1417384904
338	0.9667398808	0.1415298324
339	0.9667398808	0.1413142307
340	0.9673674302	0.1410678872
341	0.9670536555	0.1409511488
342	0.9670536555	0.1408223941
343	0.9670536555	0.140663674
344	0.9673674302	0.1405229261
345	0.9673674302	0.1404195694
346	0.9673674302	0.1403665211
347	0.9683087543	0.1401370336
348	0.9683087543	0.1400057969
349	0.968622529	0.1398296392
350	0.968622529	0.1396713193
351	0.9692500784	0.1394345083
352	0.9692500784	0.1392114007
353	0.9692500784	0.1389995849
354	0.9692500784	0.1389140627
355	0.9692500784	0.1388380855
356	0.9692500784	0.138666477
357	0.9692500784	0.1385383109
358	0.9692500784	0.1384976308
359	0.9692500784	0.1383468329
360	0.9692500784	0.1382271243
361	0.9692500784	0.1380168825
362	0.9695638532	0.1378359232
363	0.9695638532	0.1377768736
364	0.9698776279	0.1376181977
365	0.9698776279	0.1375625311
366	0.9698776279	0.1374164158
367	0.9698776279	0.1372851091
368	0.9698776279	0.1372129051
369	0.9698776279	0.1370553832
370	0.9698776279	0.1369005861
371	0.9701914026	0.13673299
372	0.9705051773	0.1365685101
373	0.9705051773	0.1363891496
374	0.9705051773	0.1362806647
375	0.9705051773	0.1361167331
376	0.9701914026	0.1359849789
377	0.9705051773	0.1357493401
378	0.9705051773	0.1356582576
379	0.9705051773	0.13560407
380	0.970818952	0.1354978912
381	0.970818952	0.1353670707
382	0.970818952	0.135171536
383	0.970818952	0.1350367357
384	0.970818952	0.1348769124
385	0.970818952	0.1347871234
386	0.9711327267	0.1346883529
387	0.970818952	0.1345512648
388	0.9711327267	0.1344537658
389	0.9711327267	0.134260486
390	0.9714465014	0.1341728455
391	0.9711327267	0.1340925436
392	0.9711327267	0.1339653629
393	0.9714465014	0.133938426
394	0.9711327267	0.1337926013
395	0.9717602761	0.1336667718
396	0.9714465014	0.1335798408
397	0.9717602761	0.1334722034
398	0.9717602761	0.1332979873
399	0.9717602761	0.1332403621
400	0.9720740508	0.1330997338
401	0.9720740508	0.1329740011
402	0.9720740508	0.1328288845
403	0.9720740508	0.1327129139
404	0.9723878255	0.1325664234
405	0.9723878255	0.1324268894
406	0.9723878255	0.1322220248
407	0.9723878255	0.1320239421
408	0.9723878255	0.1319751187
409	0.9723878255	0.1318069041
410	0.9723878255	0.1317603153
411	0.9727016003	0.1316685718
412	0.9727016003	0.1315018084
413	0.9727016003	0.1314501988
414	0.9727016003	0.1313041662
415	0.9727016003	0.1312225043
416	0.9727016003	0.1310812571
417	0.9727016003	0.1309914492
418	0.9727016003	0.130861224
419	0.9727016003	0.1307048671
420	0.9727016003	0.1305535438
421	0.973015375	0.1303560227
422	0.973015375	0.1302703918
423	0.973015375	0.1301011662
424	0.973015375	0.130002216
425	0.973015375	0.1299674093
426	0.973015375	0.1299281066
427	0.973015375	0.1298073484
428	0.973015375	0.1296968694
429	0.973015375	0.129645357
430	0.973015375	0.1295066129
431	0.973015375	0.1293619156
432	0.973015375	0.1292886896
433	0.9733291497	0.129200152
434	0.9733291497	0.1291031376
435	0.9733291497	0.1290525015
436	0.9733291497	0.128884688
437	0.973015375	0.1287711864
438	0.9733291497	0.1286342685
439	0.9733291497	0.128542853
440	0.9733291497	0.1284427024
441	0.9736429244	0.1282999905
442	0.9739566991	0.1282301232
443	0.9739566991	0.1281511269
444	0.9739566991	0.1280229146
445	0.9739566991	0.1279647739
446	0.9739566991	0.1277638283
447	0.9739566991	0.1277042514
448	0.9739566991	0.1276090668
449	0.9739566991	0.1274581159
450	0.9739566991	0.1273949976
451	0.9739566991	0.1273111942
452	0.9739566991	0.1272079531
453	0.9739566991	0.1271199915
454	0.9739566991	0.1270974019
455	0.9739566991	0.1270217933
456	0.9739566991	0.1269583521
457	0.9742704738	0.1268125543
458	0.9742704738	0.1268031469
459	0.9742704738	0.1267254393
460	0.9742704738	0.1266374223
461	0.9742704738	0.1265162605
462	0.9742704738	0.1264502348
463	0.9742704738	0.1264144725
464	0.9742704738	0.1263489168
465	0.9742704738	0.1263082545
466	0.9742704738	0.1262211199
467	0.9742704738	0.1261549305
468	0.9739566991	0.1260645446
469	0.9739566991	0.1259877701
470	0.9742704738	0.12595814
471	0.9742704738	0.1258601472
472	0.9742704738	0.1258349509
473	0.9742704738	0.1257003816
474	0.9745842485	0.1255853297
475	0.9745842485	0.1255133904
476	0.9745842485	0.1253709643
477	0.9745842485	0.1252853579
478	0.9742704738	0.125151447
479	0.9745842485	0.125065024
480	0.9745842485	0.1249677664
481	0.9742704738	0.1248864991
482	0.9742704738	0.1248834254
483	0.9742704738	0.1248393829
484	0.9742704738	0.124776787
485	0.9742704738	0.1246307354
486	0.9742704738	0.1246041125
487	0.9742704738	0.1245913761
488	0.9745842485	0.1245312636
489	0.9742704738	0.1244322998
490	0.9742704738	0.1242981278
491	0.9745842485	0.1242917311
492	0.9745842485	0.1242842667
493	0.9745842485	0.1242569054
494	0.9745842485	0.1241408785
495	0.9745842485	0.1240402484
496	0.9745842485	0.1239278586
497	0.9745842485	0.1238767068
498	0.9745842485	0.1238362631
499	0.9748980232	0.1237299812
